"Name","Nepali","District","Province","Population (2011)","Area"
"Rainas","रार्इनास","Lamjung","Gandaki","18,527","71.97"
"Tribeni","त्रिवेणी","Bajura","Sudurpashchim","18,363","170.32"
"Dharmadevi","धर्मदेवी","Sankhuwasabha","Province No. 1","18,235","132.82"
"Panchkhapan","पाँचखपन","Sankhuwasabha","Province No. 1","17,521","148.03"
"Laligurans","लालिगुराँस","Terathum","Province No. 1","16,970","90.27"
"Badimalika","बडीमालिका","Bajura","Sudurpashchim","16,818","276"
"Raskot","रास्कोट","Kalikot","Karnali","16,272","59.73"
"Tilagupha","तिलागुफा","Kalikot","Karnali","15,766","262.56"
"Jiri","जिरी","Dolakha","Province No. 3","15,515","211.27"
"Madi","मादी","Sankhuwasabha","Province No. 1","14,470","110.1"
"Tripura Sundari","त्रिपुरासुन्दरी","Dolpa","Karnali","10,104","393.54"
"Thuli Bheri","ठूली भेरी","Dolpa","Karnali","8,370","421.34"
