"Name","Nepali","District","Districts","Population (2011)","Area (km2)","Area (KM2)","Density","Province"
"Khumbu Pasang Lhamu","खुम्बु पासाङल्हमु","","Solukhumbu","8,989","","1,539.11","6","Province No. 1"
"Likhu Pike","लिखुपिके","","Solukhumbu","5,534","","124.38","44","Province No. 1"
"Koshi","कोशी","","Sunsari","43,626","","75.98","574","Province No. 1"
"Harinagara","हरिनगरा","","Sunsari","40,846","","52.29","781","Province No. 1"
"Bhokraha","भोक्राहा","","Sunsari","40,509","","63.37","639","Province No. 1"
"Dewangunj","देवानगन्ज","","Sunsari","35,073","","53.56","655","Province No. 1"
"Gadhi","गढी","","Sunsari","34,852","","67.7","515","Province No. 1"
"Barju","बर्जु","","Sunsari","31,178","","69.43","449","Province No. 1"
"Sirijangha","सिरीजङ्घा","","Taplejung","15,806","","481.09","33","Province No. 1"
"Aathrai Triveni","आठराई त्रिवेणी","","Taplejung","13,784","","88.83","155","Province No. 1"
"Pathibhara Yangwarak","पाथीभरा याङवरक","","Taplejung","13,591","","93.76","145","Province No. 1"
"Meringden","मेरिङदेन","","Taplejung","12,548","","210.33","60","Province No. 1"
"Sidingwa","सिदिङ्वा","","Taplejung","12,099","","206","59","Province No. 1"
"Phaktanglung","फक्ताङलुङ","","Taplejung","12,017","","1,858.51","6","Province No. 1"
"Maiwa Khola","मैवाखोला","","Taplejung","11,037","","138","80","Province No. 1"
"Mikwa Khola","मिक्वाखोला","","Taplejung","9,160","","442.96","21","Province No. 1"
"Aathrai","आठराई","","Terhathum","21,747","","167.07","130","Province No. 1"
"Phedap","फेदाप","","Terhathum","17,700","","110.83","160","Province No. 1"
"Chhathar","छथर","","Terhathum","16,715","","133.93","125","Province No. 1"
"Menchayayem","मेन्छयायेम","","Terhathum","8,078","","70.09","115","Province No. 1"
"Udayapurgadhi","उदयपुरगढी","","Udayapur","30,731","","209.51","147","Province No. 1"
"Rautamai","रौतामाई","","Udayapur","23,481","","204.08","115","Province No. 1"
"Tapli","ताप्ली","","Udayapur","14,562","","119.11","122","Province No. 1"
"Limchungbung","सुनकोशी","","Udayapur","11,992","","106.8","112","Province No. 1"
"Subarna","सुवर्ण","Bara","","29,602","36.84","","804","Province No. 2"
"Adarsha Kotwal","आदर्श कोतवाल","Bara","","27,552","36.25","","760","Province No. 2"
"Baragadhi","बारागढी","Bara","","27,191","39.29","","692","Province No. 2"
"Pheta","फेटा","Bara","","26,722","23.65","","1130","Province No. 2"
"Karaiyamai","करैयामाई","Bara","","26,400","47.69","","554","Province No. 2"
"Prasauni","प्रसौनी","Bara","","24,478","20.24","","1209","Province No. 2"
"Bishrampur","विश्रामपुर","Bara","","23,785","19.81","","1201","Province No. 2"
"Devtal","देवताल","Bara","","23,223","23.31","","996","Province No. 2"
"Parawanipur","परवानीपुर","Bara","","22,787","15.48","","1472","Province No. 2"
"Laksminiya","लक्ष्मीनिया","Dhanusha","","28,251","30.66","","921","Province No. 2"
"Mukhiyapatti Musaharmiya","मुखियापट्टी मुसहरमिया","Dhanusha","","25,482","26.84","","949","Province No. 2"
"Janak Nandini","जनकनन्दिनी","Dhanusha","","25,085","27.62","","908","Province No. 2"
"Aaurahi","औरही","Dhanusha","","22,578","25.56","","883","Province No. 2"
"Bateshwar","बटेश्वर","Dhanusha","","21,530","31.66","","680","Province No. 2"
"Dhanauji","धनौजी","Dhanusha","","21,395","22.13","","967","Province No. 2"
"Sonama","सोनमा","Mahottari","","38,747","57.77","","671","Province No. 2"
"Pipara","पिपरा","Mahottari","","35,524","39.98","","889","Province No. 2"
"Samsi","साम्सी","Mahottari","","33,791","21.57","","1567","Province No. 2"
"Ekdara","एकडारा","Mahottari","","29,315","24","","1221","Province No. 2"
"Mahottari","महोत्तरी","Mahottari","","27,430","28.08","","977","Province No. 2"
"Sakhuwa Prasauni","सखुवा प्रसौनी","Parsa","","32,448","74.27","","437","Province No. 2"
"Jagarnathpur","जगरनाथपुर","Parsa","","31,591","45.29","","698","Province No. 2"
"Chhipaharmai","छिपहरमाई","Parsa","","26,671","24.9","","1071","Province No. 2"
"Bindabasini","बिन्दबासिनी","Parsa","","24,468","26.04","","940","Province No. 2"
"Paterwa Sugauli","पटेर्वा सुगौली","Parsa","","23,901","64.29","","372","Province No. 2"
"Jira Bhavani","जिरा भवानी","Parsa","","22,765","55.39","","411","Province No. 2"
"Kalikamai","कालिकामाई","Parsa","","21,131","24.66","","857","Province No. 2"
"Pakaha Mainpur","पकाहा मैनपुर","Parsa","","20,717","21.26","","974","Province No. 2"
"Thori","ठोरी","Parsa","","20,296","128.67","","158","Province No. 2"
"Dhobini","धोबीनी","Parsa","","19,911","24.41","","816","Province No. 2"
"Durga Bhagawati","दुर्गा भगवती","Rautahat","","22,599","19.8","","1141","Province No. 2"
"Yamunamai","यमुनामाई","Rautahat","","23,885","16.7","","1430","Province No. 2"
"Tilathi Koiladi","तिलाठी कोईलाडी","Saptari","","32,389","32.91","","984","Province No. 2"
"Belhi Chapena","बेल्ही चपेना","Saptari","","29,459","47.9","","615","Province No. 2"
"Chhinnamasta","छिन्नमस्ता","Saptari","","28,370","38.71","","733","Province No. 2"
"Mahadeva","महादेवा","Saptari","","28,542","34.97","","816","Province No. 2"
"Aagnisaira Krishnasawaran","अग्निसाइर कृष्णासवरन","Saptari","","27,129","103.08","","263","Province No. 2"
"Rupani","रुपनी","Saptari","","26,387","56.08","","471","Province No. 2"
"Balan-Bihul","बलान-बिहुल","Saptari","","26,068","33.04","","789","Province No. 2"
"Bishnupur","बिष्णुपुर","Saptari","","23,035","37","","623","Province No. 2"
"Tirhut","तिरहुत","Saptari","","22,010","37.81","","582","Province No. 2"
"Chandranagar","चन्द्रनगर","Sarlahi","","33,328","47.5","","702","Province No. 2"
"Bramhapuri","ब्रह्मपुरी","Sarlahi","","29,832","33.89","","880","Province No. 2"
"Ramnagar","रामनगर","Sarlahi","","28,727","26.44","","1086","Province No. 2"
"Chakraghatta","चक्रघट्टा","Sarlahi","","27,952","25.16","","1111","Province No. 2"
"Kaudena","कौडेना","Sarlahi","","26,085","25.33","","1030","Province No. 2"
"Dhankaul","धनकौल","Sarlahi","","24,788","45.94","","540","Province No. 2"
"Bishnu","विष्णु","Sarlahi","","24,748","28.09","","881","Province No. 2"
"Basbariya","बसबरिया","Sarlahi","","23,568","29.42","","801","Province No. 2"
"Parsa","पर्सा","Sarlahi","","21,650","23.12","","936","Province No. 2"
"Laksmipur Patari","लक्ष्मीपुर पतारी","Siraha","","26,913","42.33","","636","Province No. 2"
"Bariyarpatti","बरियारपट्टी","Siraha","","25,256","37.72","","670","Province No. 2"
"Aaurahi","औरही","Siraha","","23,046","35.87","","642","Province No. 2"
"Arnama","अर्नमा","Siraha","","22,912","37.76","","607","Province No. 2"
"Bhagawanpur","भगवानपुर","Siraha","","20,957","33.03","","634","Province No. 2"
"Naraha","नरहा","Siraha","","19,369","29.28","","662","Province No. 2"
"Nawarajpur","नवराजपुर","Siraha","","19,019","32.18","","591","Province No. 2"
"Sakhuwanankarkatti","सखुवानान्कारकट्टी","Siraha","","18,558","32.84","","565","Province No. 2"
"Bishnupur","विष्णुपुर","Siraha","","18,522","26.34","","703","Province No. 2"
"Ichchhakamana","इच्छाकामना","Chitwan","","25,012","166.73","","150","Province No. 3"
"Thakre","थाक्रे","Dhading","","32,914","96.41","","341","Province No. 3"
"Benighat Rorang","बेनीघाट रोराङ्ग","Dhading","","31,475","29.17","","1,079","Province No. 3"
"Galchhi","गल्छी","Dhading","","27,784","129.08","","215","Province No. 3"
"Gajuri","गजुरी","Dhading","","27,084","138.66","","195","Province No. 3"
"Jwalamukhi","ज्वालामूखी","Dhading","","23,966","114.04","","210","Province No. 3"
"Siddhalekh","सिद्धलेक","Dhading","","23,729","106.09","","224","Province No. 3"
"Tripura Sundari","त्रिपुरासुन्दरी","Dhading","","22,960","271.23","","85","Province No. 3"
"Gangajamuna","गङ्गाजमुना","Dhading","","21,784","152.72","","143","Province No. 3"
"Netrawati Dabjong","नेत्रावती डबजोङ","Dhading","","12,870","181.78","","71","Province No. 3"
"Khaniyabas","खनियाबास","Dhading","","12,749","120.8","","106","Province No. 3"
"Ruby Valley","रुवी भ्याली","Dhading","","9,565","401.85","","24","Province No. 3"
"Kalinchok","कालिन्चोक","Dolakha","","22,954","132.49","","173","Province No. 3"
"Melung","मेलुङ","Dolakha","","20,210","86.54","","234","Province No. 3"
"Shailung","शैलुङ","Dolakha","","20,098","128.67","","156","Province No. 3"
"Baiteshwar","वैतेश्वर","Dolakha","","19,876","80.41","","247","Province No. 3"
"Tamakoshi","तामाकोशी","Dolakha","","18,849","153.06","","123","Province No. 3"
"Bigu","विगु","Dolakha","","18,449","663.2","","28","Province No. 3"
"Gaurishankar","गौरिशंकर","Dolakha","","17,062","681.39","","25","Province No. 3"
"Roshi","रोशी","Kavrepalanchok","","28,746","176","","163","Province No. 3"
"Temal","तेमाल","Kavrepalanchok","","22,712","89","","255","Province No. 3"
"Chaunri Deurali","चौंरी देउराली","Kavrepalanchok","","20,829","98","","213","Province No. 3"
"Bhumlu","भुम्लु","Kavrepalanchok","","18,916","91","","208","Province No. 3"
"Mahabharat","महाभारत","Kavrepalanchok","","18,283","186","","98","Province No. 3"
"Bethanchok","बेथानचोक","Kavrepalanchok","","16,777","101","","166","Province No. 3"
"Khanikhola","खानीखोला","Kavrepalanchok","","14,398","132","","109","Province No. 3"
"Bagmati","बाग्मती","Lalitpur","","13,049","111.49","","117","Province No. 3"
"Konjyosom","कोन्ज्योसोम","Lalitpur","","9,709","44.16","","220","Province No. 3"
"Mahankal","महाङ्काल","Lalitpur","","9,453","82.44","","115","Province No. 3"
"Bakaiya","बकैया","Makwanpur","","39,620","393.75","","101","Province No. 3"
"Manhari","मनहरी","Makwanpur","","38,399","199.52","","192","Province No. 3"
"Bagmati","बाग्मती","Makwanpur","","30,495","311.79","","98","Province No. 3"
"Raksirang","राक्सिराङ्ग","Makwanpur","","26,192","226.7","","116","Province No. 3"
"Makawanpurgadhi","मकवानपुरगढी","Makwanpur","","25,322","148.72","","170","Province No. 3"
"Kailash","कैलाश","Makwanpur","","23,922","204.48","","117","Province No. 3"
"Bhimphedi","भीमफेदी","Makwanpur","","23,344","245.27","","95","Province No. 3"
"Indrasarowar","ईन्द्र सरोवर","Makwanpur","","17,585","97.34","","181","Province No. 3"
"Kakani","ककनी","Nuwakot","","27,073","87.97","","308","Province No. 3"
"Dupcheshwar","दुप्चेश्वर","Nuwakot","","22,106","131.62","","168","Province No. 3"
"Shivapuri","शिवपुरी","Nuwakot","","20,769","101.5","","205","Province No. 3"
"Tadi","तादी","Nuwakot","","17,932","69.8","","257","Province No. 3"
"Likhu","लिखु","Nuwakot","","16,852","47.88","","352","Province No. 3"
"Suryagadhi","सुर्यगढी","Nuwakot","","16,800","49.09","","342","Province No. 3"
"Panchakanya","पञ्चकन्या","Nuwakot","","15,945","53.47","","298","Province No. 3"
"Tarkeshwar","तारकेश्वर","Nuwakot","","15,719","72.62","","216","Province No. 3"
"Kispang","किस्पाङ","Nuwakot","","14,861","82.57","","180","Province No. 3"
"Myagang","म्यागङ","Nuwakot","","13,479","97.83","","138","Province No. 3"
"Khandadevi","खाँडादेवी","Ramechhap","","25,761","150.7","","171","Province No. 3"
"Likhu Tamakoshi","लिखु तामाकोशी","Ramechhap","","23,109","124.51","","186","Province No. 3"
"Doramba","दोरम्बा","Ramechhap","","22,738","140.88","","161","Province No. 3"
"Gokulganga","गोकुलगङ्गा","Ramechhap","","20,058","198.4","","101","Province No. 3"
"Sunapati","सुनापती","Ramechhap","","18,141","86.98","","209","Province No. 3"
"Umakunda","उमाकुण्ड","Ramechhap","","17,601","451.99","","39","Province No. 3"
"Naukunda","नौकुण्ड","Rasuwa","","11,824","126.99","","93","Province No. 3"
"Kalika","कालिका","Rasuwa","","9,421","192.54","","49","Province No. 3"
"Uttargaya","उत्तरगया","Rasuwa","","8,255","104.51","","79","Province No. 3"
"Gosaikund","गोसाईकुण्ड","Rasuwa","","7,143","978.77","","7","Province No. 3"
"Aamachodingmo","आमाछोदिङमो","Rasuwa","","5,490","682.23","","8","Province No. 3"
"Tinpatan","तिनपाटन","Sindhuli","","38,395","280.26","","137","Province No. 3"
"Marin","मरिण","Sindhuli","","27,822","324.55","","86","Province No. 3"
"Hariharpurgadhi","हरिहरपुरगढी","Sindhuli","","27,727","343.9","","81","Province No. 3"
"Sunkoshi","सुनकोशी","Sindhuli","","21,473","154.68","","139","Province No. 3"
"Golanjor","गोलन्जोर","Sindhuli","","19,329","184.13","","105","Province No. 3"
"Phikkal","फिक्कल","Sindhuli","","16,968","186.06","","91","Province No. 3"
"Ghyanglekh","घ्याङलेख","Sindhuli","","13,661","166.77","","82","Province No. 3"
"Indrawati","र्इन्द्रावती","Sindhupalchok","","28,517","105.09","","271","Province No. 3"
"Panchpokhari Thangpal","पाँचपोखरी थाङपाल","Sindhupalchok","","20,860","187.29","","111","Province No. 3"
"Jugal","जुगल","Sindhupalchok","","19,231","273.62","","70","Province No. 3"
"Balephi","बलेफी","Sindhupalchok","","18,909","61.6","","307","Province No. 3"
"Helambu","हेलम्बु","Sindhupalchok","","17,671","287.26","","62","Province No. 3"
"Bhotekoshi","भोटेकोशी","Sindhupalchok","","17,156","278.31","","62","Province No. 3"
"Sunkoshi","सुनकोशी","Sindhupalchok","","16,713","72.84","","229","Province No. 3"
"Lisankhu Pakhar","लिसंखु पाखर","Sindhupalchok","","15,155","98.61","","154","Province No. 3"
"Tripura Sundari","त्रिपुरासुन्दरी","Sindhupalchok","","15,062","94.28","","160","Province No. 3"
"Badigad","वडिगाड","Baglung","","30,906","178.68","","173","Gandaki"
"Kathekhola","काठेखोला","Baglung","","22,865","82.88","","276","Gandaki"
"Nisikhola","निसीखोला","Baglung","","20,611","244.37","","84","Gandaki"
"Bareng","वरेङ","Baglung","","14,492","75.28","","193","Gandaki"
"Tarakhola","ताराखोला","Baglung","","12,009","129.53","","93","Gandaki"
"Tamankhola","तमानखोला","Baglung","","10,659","178.02","","60","Gandaki"
"Shahid Lakhan","शहिद लखन","Gorkha","","27,555","148.97","","185","Gandaki"
